Region_Name,Region_Type,Year,GRP_per_capita,Income_per_capita,Unemployment_rate,Federal_subsidies,Migration_rate
Ямало-Ненецкий АО,donor,2015,1774.57,763.66,2.58,0.94,31.18
Ямало-Ненецкий АО,donor,2016,1879.05,1081.11,2.59,0.96,40.03
Ямало-Ненецкий АО,donor,2017,1869.66,1046.0,2.52,0.95,39.62
Ямало-Ненецкий АО,donor,2018,1972.95,1042.17,2.62,0.95,53.49
Ямало-Ненецкий АО,donor,2019,1960.66,855.47,2.51,0.95,46.09
Ямало-Ненецкий АО,donor,2020,2010.84,1185.3,2.45,0.95,42.93
Ямало-Ненецкий АО,donor,2021,2206.02,890.4,2.58,0.97,50.96
Ямало-Ненецкий АО,donor,2022,2168.35,933.49,2.59,0.97,54.31
Ямало-Ненецкий АО,donor,2023,2285.39,1341.24,2.54,0.95,60.92
Ямало-Ненецкий АО,donor,2024,2385.95,1144.78,2.6,0.95,54.02
Ямало-Ненецкий АО,donor,2025,2279.4,1156.75,2.49,0.95,57.71
Тюменская область,donor,2000,1037.45,444.21,3.37,2.32,-0.68
Тюменская область,donor,2001,1123.22,530.7,3.46,2.36,14.24
Тюменская область,donor,2002,1161.73,484.52,3.4,2.32,10.2
Тюменская область,donor,2003,1213.91,667.64,3.49,2.32,12.04
Тюменская область,donor,2004,1278.32,520.67,3.44,2.38,7.02
Тюменская область,donor,2005,1393.38,680.18,3.29,2.34,8.63
Тюменская область,donor,2006,1408.58,806.21,3.45,2.31,22.63
Тюменская область,donor,2007,1505.55,725.29,3.38,2.34,28.09
Тюменская область,donor,2008,1565.72,632.46,3.4,2.32,21.08
Тюменская область,donor,2009,1622.09,726.11,3.4,2.31,22.63
Тюменская область,donor,2010,1692.31,957.92,3.51,2.35,23.88
Тюменская область,donor,2011,1708.4,989.62,3.41,2.32,24.3
Тюменская область,donor,2012,1826.88,1029.43,3.46,2.29,29.61
Тюменская область,donor,2013,1905.15,864.2,3.35,2.29,42.81
Тюменская область,donor,2014,1838.98,843.89,3.59,2.34,30.02
Тюменская область,donor,2015,1968.14,796.1,3.57,2.32,24.32
Тюменская область,donor,2016,1988.91,851.0,3.53,2.29,35.05
Тюменская область,donor,2017,2037.93,1041.05,3.51,2.34,41.1
Тюменская область,donor,2018,2180.27,1133.97,3.54,2.29,46.0
Тюменская область,donor,2019,2224.68,1060.34,3.53,2.3,43.68
Тюменская область,donor,2020,2318.06,965.61,3.42,2.28,48.22
Тюменская область,donor,2021,2285.04,1076.56,3.42,2.29,51.46
Тюменская область,donor,2022,2373.51,1264.45,3.66,2.32,50.21
Тюменская область,donor,2023,2512.18,1030.71,3.37,2.38,51.11
Тюменская область,donor,2024,2603.08,1096.73,3.43,2.32,52.72
Тюменская область,donor,2025,2710.15,1319.75,3.47,2.33,57.24
Республика Татарстан,donor,2000,1311.66,548.69,3.47,1.43,16.56
Республика Татарстан,donor,2001,1446.29,831.02,3.3,1.45,25.5
Республика Татарстан,donor,2002,1561.92,890.04,3.46,1.43,16.57
Республика Татарстан,donor,2003,1618.1,705.68,3.4,1.45,24.65
Республика Татарстан,donor,2004,1700.95,1010.73,3.37,1.43,34.26
Республика Татарстан,donor,2005,1768.47,820.25,3.39,1.41,32.06
Республика Татарстан,donor,2006,1810.49,986.63,3.48,1.43,30.23
Республика Татарстан,donor,2007,1986.49,921.24,3.4,1.45,37.85
Республика Татарстан,donor,2008,1957.89,792.71,3.43,1.43,38.9
Республика Татарстан,donor,2009,2072.11,1027.71,3.48,1.45,41.08
Республика Татарстан,donor,2010,2102.17,1150.98,3.27,1.43,42.42
Республика Татарстан,donor,2011,2196.23,1008.65,3.33,1.41,37.55
Республика Татарстан,donor,2012,2288.43,1350.15,3.44,1.45,49.08
Республика Татарстан,donor,2013,2417.68,1263.68,3.44,1.45,60.2
Республика Татарстан,donor,2014,2423.1,1054.79,3.39,1.42,46.64
Республика Татарстан,donor,2015,2550.29,1049.62,3.47,1.43,46.05
Республика Татарстан,donor,2016,2707.22,1166.21,3.46,1.43,60.83
Республика Татарстан,donor,2017,2757.52,1430.02,3.29,1.42,65.09
Республика Татарстан,donor,2018,2807.44,1195.7,3.43,1.44,62.53
Республика Татарстан,donor,2019,2947.85,1230.42,3.53,1.41,57.83
Республика Татарстан,donor,2020,3043.99,1519.48,3.32,1.43,73.58
Республика Татарстан,donor,2021,3071.67,1523.91,3.47,1.45,73.78
Республика Татарстан,donor,2022,3237.77,1661.45,3.31,1.44,77.74
Республика Татарстан,donor,2023,3274.05,1866.59,3.46,1.44,85.88
Республика Татарстан,donor,2024,3350.74,1796.09,3.45,1.45,86.55
Республика Татарстан,donor,2025,3387.62,1582.1,3.4,1.42,83.87
Ленинградская область,donor,2000,1377.82,725.23,3.67,2.61,9.54
Ленинградская область,donor,2001,1498.44,631.44,3.68,2.59,25.69
Ленинградская область,donor,2002,1534.36,807.88,3.68,2.59,23.35
Ленинградская область,donor,2003,1613.6,873.98,3.63,2.59,21.18
Ленинградская область,donor,2004,1742.67,713.01,3.55,2.6,23.52
Ленинградская область,donor,2005,1779.67,986.08,3.52,2.57,40.88
Ленинградская область,donor,2006,1812.64,784.38,3.5,2.6,34.31
Ленинградская область,donor,2007,1992.79,906.03,3.76,2.6,33.14
Ленинградская область,donor,2008,2106.44,1010.08,3.59,2.61,38.41
Ленинградская область,donor,2009,2083.72,846.46,3.62,2.55,43.39
Ленинградская область,donor,2010,2192.51,1301.56,3.75,2.59,43.53
Ленинградская область,donor,2011,2310.73,1314.7,3.72,2.6,54.71
Ленинградская область,donor,2012,2370.11,1325.62,3.72,2.56,49.47
Ленинградская область,donor,2013,2461.51,1196.44,3.61,2.59,43.77
Ленинградская область,donor,2014,2532.01,1149.02,3.61,2.57,56.91
Ленинградская область,donor,2015,2593.45,1074.96,3.66,2.57,39.85
Ленинградская область,donor,2016,2605.03,1404.1,3.72,2.6,59.13
Ленинградская область,donor,2017,2771.26,1166.66,3.62,2.59,52.32
Ленинградская область,donor,2018,2940.8,1505.48,3.73,2.56,66.77
Ленинградская область,donor,2019,2921.5,1214.51,3.66,2.56,60.89
Ленинградская область,donor,2020,3128.24,1752.18,3.71,2.57,72.88
Ленинградская область,donor,2021,3119.12,1688.36,3.61,2.59,71.53
Ленинградская область,donor,2022,3228.85,1752.67,3.69,2.57,83.22
Ленинградская область,donor,2023,3274.22,1844.89,3.73,2.64,76.53
Ленинградская область,donor,2024,3465.37,1442.72,3.68,2.56,76.51
Ленинградская область,donor,2025,3473.9,1735.7,3.75,2.63,85.4
Свердловская область,donor,2000,938.27,502.95,4.04,4.86,-9.06
Свердловская область,donor,2001,1025.64,562.6,4.04,4.79,-2.21
Свердловская область,donor,2002,1041.53,567.69,4.15,4.93,1.73
Свердловская область,donor,2003,1128.79,514.01,4.06,4.92,4.91
Свердловская область,donor,2004,1202.98,633.14,3.89,4.85,10.99
Свердловская область,donor,2005,1260.22,549.38,4.01,4.89,6.77
Свердловская область,donor,2006,1262.39,724.8,3.99,4.91,-3.13
Свердловская область,donor,2007,1394.4,603.36,3.85,4.89,13.23
Свердловская область,donor,2008,1443.62,671.34,3.89,4.85,17.33
Свердловская область,donor,2009,1476.89,660.48,4.03,4.77,16.43
Свердловская область,donor,2010,1527.91,687.16,4.09,4.95,20.62
Свердловская область,donor,2011,1582.35,644.55,3.96,4.92,24.21
Свердловская область,donor,2012,1691.16,948.97,3.99,4.93,26.41
Свердловская область,donor,2013,1699.8,771.63,3.98,4.88,19.4
Свердловская область,donor,2014,1761.63,1033.68,3.91,4.88,18.86
Свердловская область,donor,2015,1857.27,911.82,4.02,4.77,43.21
Свердловская область,donor,2016,1848.66,750.55,4.02,4.93,20.67
Свердловская область,donor,2017,1962.8,1165.87,3.91,4.89,32.62
Свердловская область,donor,2018,2039.48,888.05,3.98,4.92,35.54
Свердловская область,donor,2019,2060.41,1029.04,4.02,4.92,36.9
Свердловская область,donor,2020,2092.86,1226.81,4.0,4.93,45.27
Свердловская область,donor,2021,2197.13,1051.93,3.9,4.84,41.56
Свердловская область,donor,2022,2271.78,1264.19,3.97,4.96,46.84
Свердловская область,donor,2023,2273.45,1058.08,4.07,4.93,43.59
Свердловская область,donor,2024,2376.0,1157.39,4.04,4.87,45.63
Свердловская область,donor,2025,2391.49,1111.84,3.99,4.81,36.87
Сахалинская область,donor,2000,1270.38,565.9,2.7,2.3,15.39
Сахалинская область,donor,2001,1393.76,686.71,2.86,2.32,20.9
Сахалинская область,donor,2002,1369.2,554.7,2.9,2.27,11.92
Сахалинская область,donor,2003,1562.35,791.68,2.68,2.33,32.63
Сахалинская область,donor,2004,1614.65,954.42,2.82,2.29,34.32
Сахалинская область,donor,2005,1666.56,700.43,2.81,2.26,29.49
Сахалинская область,donor,2006,1715.48,961.71,2.72,2.25,37.84
Сахалинская область,donor,2007,1882.64,855.71,2.82,2.28,36.49
Сахалинская область,donor,2008,1925.46,840.05,2.72,2.34,40.34
Сахалинская область,donor,2009,1988.07,897.24,2.73,2.3,44.4
Сахалинская область,donor,2010,2068.14,845.21,2.85,2.31,42.53
Сахалинская область,donor,2011,2187.66,1261.93,2.8,2.28,48.19
Сахалинская область,donor,2012,2151.25,1221.85,2.87,2.29,53.15
Сахалинская область,donor,2013,2324.78,1057.68,2.74,2.29,58.59
Сахалинская область,donor,2014,2335.87,1225.8,2.79,2.35,48.54
Сахалинская область,donor,2015,2470.61,1414.57,2.74,2.29,60.72
Сахалинская область,donor,2016,2524.39,1316.26,2.77,2.26,62.31
Сахалинская область,donor,2017,2675.27,1335.9,2.68,2.28,73.92
Сахалинская область,donor,2018,2766.41,1489.68,2.75,2.31,67.14
Сахалинская область,donor,2019,2664.42,1108.09,2.81,2.29,55.96
Сахалинская область,donor,2020,2794.26,1156.5,2.71,2.28,65.97
Сахалинская область,donor,2021,2872.06,1459.01,2.82,2.31,75.6
Сахалинская область,donor,2022,2866.4,1337.46,2.8,2.31,79.35
Сахалинская область,donor,2023,3046.69,1255.32,2.87,2.31,72.67
Сахалинская область,donor,2024,3173.69,1397.02,2.73,2.28,79.17
Сахалинская область,donor,2025,3318.95,1558.29,2.76,2.32,87.59
Красноярский край,donor,2000,1451.14,824.84,2.51,2.1,30.81
Красноярский край,donor,2001,1541.87,656.13,2.45,2.07,31.92
Красноярский край,donor,2002,1588.16,749.65,2.43,2.02,34.33
Красноярский край,donor,2003,1672.12,869.7,2.36,2.07,36.35
Красноярский край,donor,2004,1805.82,1029.83,2.47,2.06,40.59
Красноярский край,donor,2005,1918.36,1100.39,2.45,2.07,48.07
Красноярский край,donor,2006,1950.69,937.49,2.46,2.07,38.92
Красноярский край,donor,2007,2058.77,1087.43,2.47,2.05,49.26
Красноярский край,donor,2008,2250.28,1244.32,2.45,2.06,48.97
Красноярский край,donor,2009,2183.96,1034.12,2.45,2.07,51.0
Красноярский край,donor,2010,2234.86,1120.18,2.44,2.04,52.7
Красноярский край,donor,2011,2347.19,1229.73,2.5,2.04,59.46
Красноярский край,donor,2012,2457.99,1472.27,2.47,2.06,62.37
Красноярский край,donor,2013,2547.62,1371.72,2.45,2.06,61.23
Красноярский край,donor,2014,2584.39,1356.23,2.51,2.0,69.75
Красноярский край,donor,2015,2677.88,1268.12,2.46,2.08,64.97
Красноярский край,donor,2016,2890.0,1162.37,2.51,2.04,56.92
Красноярский край,donor,2017,2895.05,1467.97,2.49,2.04,74.58
Красноярский край,donor,2018,2895.81,1647.35,2.57,2.06,72.12
Красноярский край,donor,2019,3073.42,1682.61,2.43,2.01,80.69
Красноярский край,donor,2020,3132.08,1744.58,2.36,2.04,91.06
Красноярский край,donor,2021,3235.13,1458.83,2.56,2.05,87.14
Красноярский край,donor,2022,3456.58,2001.44,2.53,2.08,104.26
Красноярский край,donor,2023,3450.89,1484.0,2.43,2.06,97.93
Красноярский край,donor,2024,3519.43,1467.45,2.47,2.05,91.38
Красноярский край,donor,2025,3524.96,1656.52,2.42,2.07,99.64
Самарская область,donor,2000,951.68,431.12,2.38,0.59,17.83
Самарская область,donor,2001,960.73,407.62,2.32,0.59,14.39
Самарская область,donor,2002,1050.69,429.09,2.45,0.59,22.17
Самарская область,donor,2003,1113.33,591.51,2.38,0.58,13.57
Самарская область,donor,2004,1128.66,550.65,2.26,0.59,19.24
Самарская область,donor,2005,1196.83,526.0,2.33,0.58,23.3
Самарская область,donor,2006,1286.06,735.98,2.32,0.59,20.63
Самарская область,donor,2007,1352.13,737.85,2.34,0.59,32.08
Самарская область,donor,2008,1380.84,824.27,2.29,0.58,28.23
Самарская область,donor,2009,1454.91,644.09,2.38,0.59,27.21
Самарская область,donor,2010,1496.61,775.35,2.43,0.57,30.08
Самарская область,donor,2011,1599.1,918.95,2.38,0.59,38.18
Самарская область,donor,2012,1594.55,640.8,2.29,0.59,26.59
Самарская область,donor,2013,1697.38,748.22,2.33,0.59,37.08
Самарская область,donor,2014,1669.62,786.52,2.37,0.58,41.93
Самарская область,donor,2015,1715.09,737.11,2.3,0.59,33.77
Самарская область,donor,2016,1885.02,1088.11,2.33,0.57,52.17
Самарская область,donor,2017,1941.0,777.65,2.31,0.57,48.07
Самарская область,donor,2018,1912.3,1010.59,2.47,0.58,39.85
Самарская область,donor,2019,2063.48,1074.45,2.44,0.59,51.24
Самарская область,donor,2020,2077.04,1037.8,2.32,0.59,45.74
Самарская область,donor,2021,2140.81,1077.8,2.38,0.58,49.75
Самарская область,donor,2022,2125.84,888.0,2.26,0.58,41.62
Самарская область,donor,2023,2220.94,1075.49,2.38,0.59,55.63
Самарская область,donor,2024,2258.04,1282.48,2.3,0.59,47.65
Самарская область,donor,2025,2265.83,1070.49,2.36,0.58,45.01
Ненецкий АО,donor,2000,1029.96,585.41,3.87,1.38,1.1
Ненецкий АО,donor,2001,1044.63,445.74,3.66,1.37,1.81
Ненецкий АО,donor,2002,1065.3,581.55,3.87,1.36,6.91
Ненецкий АО,donor,2003,1166.97,642.15,3.9,1.38,8.34
Ненецкий АО,donor,2004,1226.86,551.35,3.81,1.37,10.45
Ненецкий АО,donor,2005,1335.81,654.48,3.82,1.36,12.75
Ненецкий АО,donor,2006,1375.18,663.14,3.79,1.38,12.74
Ненецкий АО,donor,2007,1434.85,842.78,3.92,1.37,14.29
Ненецкий АО,donor,2008,1519.9,906.26,3.81,1.38,15.01
Ненецкий АО,donor,2009,1563.15,770.3,3.78,1.37,22.33
Ненецкий АО,donor,2010,1588.47,683.44,3.86,1.36,15.22
Ненецкий АО,donor,2011,1681.84,848.79,3.97,1.37,23.94
Ненецкий АО,donor,2012,1748.84,728.12,4.02,1.36,8.02
Ненецкий АО,donor,2013,1811.9,892.28,3.95,1.39,22.06
Ненецкий АО,donor,2014,1830.36,919.76,3.89,1.37,35.5
Ненецкий АО,donor,2015,1892.53,819.36,3.82,1.39,25.37
Ненецкий АО,donor,2016,1920.65,1105.46,3.89,1.37,25.84
Ненецкий АО,donor,2017,2074.4,1053.26,3.88,1.36,36.79
Ненецкий АО,donor,2018,2142.53,1020.03,3.92,1.37,30.47
Ненецкий АО,donor,2019,2199.19,1133.72,3.83,1.39,44.2
Ненецкий АО,donor,2020,2254.02,1141.9,3.87,1.38,38.48
Ненецкий АО,donor,2021,2251.23,1286.43,3.96,1.37,46.47
Ненецкий АО,donor,2022,2315.54,1340.23,3.84,1.36,49.54
Ненецкий АО,donor,2023,2500.75,1042.04,3.8,1.37,49.13
Ненецкий АО,donor,2024,2487.89,1203.03,3.88,1.36,51.49
Ненецкий АО,donor,2025,2513.33,1086.88,3.96,1.37,46.3
Чукотский АО,donor,2000,1173.73,513.48,3.41,4.47,11.79
Чукотский АО,donor,2001,1284.14,594.39,3.46,4.52,13.27
Чукотский АО,donor,2002,1253.91,625.5,3.4,4.44,19.05
Чукотский АО,donor,2003,1394.69,788.27,3.38,4.45,18.34
Чукотский АО,donor,2004,1438.42,704.93,3.38,4.5,26.36
Чукотский АО,donor,2005,1473.77,837.53,3.52,4.48,21.63
Чукотский АО,donor,2006,1561.35,835.69,3.46,4.52,18.82
Чукотский АО,donor,2007,1646.88,934.46,3.47,4.5,21.2
Чукотский АО,donor,2008,1734.76,799.83,3.57,4.51,20.75
Чукотский АО,donor,2009,1826.59,973.57,3.48,4.48,31.72
Чукотский АО,donor,2010,1895.85,800.42,3.57,4.39,19.99
Чукотский АО,donor,2011,1946.3,926.6,3.51,4.44,34.52
Чукотский АО,donor,2012,2024.34,923.11,3.45,4.44,41.13
Чукотский АО,donor,2013,2089.3,1172.06,3.46,4.42,48.09
Чукотский АО,donor,2014,2128.23,1222.78,3.49,4.48,40.9
Чукотский АО,donor,2015,2180.98,977.91,3.45,4.46,40.65
Чукотский АО,donor,2016,2328.26,1069.71,3.33,4.51,43.85
Чукотский АО,donor,2017,2381.97,1235.4,3.5,4.46,49.77
Чукотский АО,donor,2018,2435.3,1005.12,3.52,4.48,54.17
Чукотский АО,donor,2019,2515.31,1423.31,3.48,4.47,61.91
Чукотский АО,donor,2020,2433.13,1127.49,3.49,4.53,48.64
Чукотский АО,donor,2021,2689.16,1314.13,3.45,4.53,66.42
Чукотский АО,donor,2022,2801.46,1253.62,3.49,4.42,61.6
Чукотский АО,donor,2023,2768.37,1468.47,3.27,4.47,68.34
Чукотский АО,donor,2024,2855.29,1504.22,3.56,4.46,65.12
Чукотский АО,donor,2025,2897.25,1185.35,3.29,4.44,60.99
Магаданская область,donor,2000,1493.45,681.22,2.6,2.46,19.79
Магаданская область,donor,2001,1559.18,873.94,2.62,2.47,45.06
Магаданская область,donor,2002,1670.19,800.7,2.65,2.47,29.08
Магаданская область,donor,2003,1735.34,870.24,2.62,2.46,41.15
Магаданская область,donor,2004,1820.64,871.93,2.63,2.42,29.94
Магаданская область,donor,2005,1934.37,1008.93,2.69,2.48,39.56
Магаданская область,donor,2006,2018.73,1084.7,2.63,2.46,41.54
Магаданская область,donor,2007,2011.25,853.18,2.62,2.5,39.93
Магаданская область,donor,2008,2212.94,1181.08,2.65,2.44,59.16
Магаданская область,donor,2009,2274.82,1199.33,2.66,2.47,57.64
Магаданская область,donor,2010,2386.19,1012.01,2.7,2.43,54.1
Магаданская область,donor,2011,2455.29,1127.0,2.65,2.53,54.95
Магаданская область,donor,2012,2445.96,1335.09,2.7,2.49,62.0
Магаданская область,donor,2013,2600.48,1390.2,2.76,2.44,58.63
Магаданская область,donor,2014,2708.86,1516.08,2.74,2.47,70.15
Магаданская область,donor,2015,2804.58,1300.69,2.71,2.42,74.12
Магаданская область,donor,2016,2992.94,1609.25,2.7,2.44,75.57
Магаданская область,donor,2017,2923.63,1689.92,2.65,2.44,75.37
Магаданская область,donor,2018,3081.6,1625.18,2.65,2.45,79.43
Магаданская область,donor,2019,3060.72,1638.78,2.62,2.42,86.79
Магаданская область,donor,2020,3379.33,1446.73,2.64,2.45,85.3
Магаданская область,donor,2021,3381.51,1612.44,2.66,2.43,85.9
Магаданская область,donor,2022,3309.89,1919.79,2.64,2.48,89.02
Магаданская область,donor,2023,3605.22,2151.61,2.68,2.42,93.81
Магаданская область,donor,2024,3649.58,1572.35,2.55,2.5,105.85
